Date,Open,High,Low,Close,Adj Close,Volume
2021-09-22,9.127570,9.143510,9.120800,9.126700,9.126700,0
2021-09-23,9.098600,9.145800,9.095710,9.098910,9.098910,0
2021-09-24,9.139100,9.145210,9.110880,9.139240,9.139240,0
2021-09-27,9.125100,9.126610,9.095800,9.125350,9.125350,0
2021-09-28,9.101900,9.107080,9.080900,9.101980,9.101980,0
2021-09-29,9.095370,9.098780,9.037000,9.094000,9.094000,0
2021-09-30,9.029200,9.040110,9.006500,9.029200,9.029200,0
2021-10-01,9.011220,9.035900,9.002600,9.011340,9.011340,0
2021-10-04,9.035730,9.062190,9.021800,9.035590,9.035590,0
2021-10-05,9.045660,9.048140,9.013200,9.044500,9.044500,0
2021-10-06,9.026500,9.029000,8.977200,9.027400,9.027400,0
2021-10-07,8.997200,9.007810,8.989290,8.996630,8.996630,0
2021-10-08,8.997890,9.016940,8.985400,8.998480,8.998480,0
2021-10-11,9.002530,9.016500,8.987900,9.002590,9.002590,0
2021-10-12,8.986080,9.002350,8.972900,8.986630,8.986630,0
2021-10-13,8.971800,9.007040,8.971590,8.972540,8.972540,0
2021-10-14,9.021620,9.041110,9.008800,9.020940,9.020940,0
2021-10-15,9.016170,9.038680,9.013600,9.016170,9.016170,0
2021-10-18,9.018900,9.032470,9.002000,9.019460,9.019460,0
2021-10-19,9.032700,9.074310,9.031600,9.032110,9.032110,0
2021-10-20,9.044680,9.061100,9.032300,9.042500,9.042500,0
2021-10-21,9.057430,9.069180,9.044800,9.056600,9.056600,0
2021-10-22,9.037300,9.057390,9.035000,9.038160,9.038160,0
2021-10-25,9.046800,9.066900,9.010060,9.046340,9.046340,0
2021-10-26,9.025520,9.039190,9.006200,9.023100,9.023100,0
2021-10-27,9.017600,9.041430,9.010300,9.016600,9.016600,0
2021-10-28,9.021500,9.091560,9.007500,9.022310,9.022310,0
2021-10-29,9.086300,9.091700,8.981760,9.085700,9.085700,0
2021-11-01,8.992390,9.022170,8.981600,8.990680,8.990680,0
2021-11-02,9.028340,9.036220,9.010030,9.026790,9.026790,0
2021-11-03,9.009800,9.024580,8.999100,9.009630,9.009630,0
2021-11-04,9.039100,9.040190,8.971800,9.039200,9.039200,0
2021-11-05,8.992690,8.999980,8.962650,8.992000,8.992000,0
2021-11-08,9.003600,9.029720,8.991100,9.003830,9.003830,0
2021-11-09,9.025270,9.042110,9.012430,9.024860,9.024860,0
2021-11-10,9.030990,9.032380,8.965200,9.031330,9.031330,0
2021-11-11,8.946600,8.950130,8.923650,8.948160,8.948160,0
2021-11-12,8.916800,8.929850,8.907700,8.918470,8.918470,0
2021-11-15,8.914990,8.931730,8.890700,8.914540,8.914540,0
2021-11-16,8.853600,8.865870,8.823500,8.850000,8.850000,0
2021-11-17,8.811720,8.824840,8.776300,8.813280,8.813280,0
2021-11-18,8.814300,8.845880,8.810600,8.815000,8.815000,0
2021-11-19,8.853700,8.854900,8.767890,8.853900,8.853900,0
2021-11-22,8.784450,8.795290,8.755500,8.784040,8.784040,0
2021-11-23,8.755900,8.785070,8.746590,8.757400,8.757400,0
2021-11-24,8.762360,8.770190,8.722210,8.763470,8.763470,0
2021-11-25,8.737060,8.755620,8.735100,8.735820,8.735820,0
2021-11-26,8.738110,8.828430,8.737570,8.738200,8.738200,0
2021-11-29,8.803830,8.808680,8.780500,8.805390,8.805390,0
2021-11-30,8.807900,8.872150,8.762600,8.806200,8.806200,0
2021-12-01,8.833640,8.852000,8.811850,8.833100,8.833100,0
2021-12-02,8.819900,8.842980,8.806620,8.821270,8.821270,0
2021-12-03,8.807000,8.830930,8.780480,8.808950,8.808950,0
2021-12-06,8.810320,8.822020,8.788000,8.811760,8.811760,0
2021-12-07,8.801300,8.812160,8.755610,8.802800,8.802800,0
2021-12-08,8.790100,8.840450,8.781800,8.789500,8.789500,0
2021-12-09,8.845400,8.845630,8.790700,8.843900,8.843900,0
2021-12-10,8.803100,8.829500,8.785600,8.805190,8.805190,0
2021-12-13,8.820670,8.822970,8.782500,8.820390,8.820390,0
2021-12-14,8.802800,8.835730,8.788500,8.802540,8.802540,0
2021-12-15,8.781530,8.798300,8.775600,8.781100,8.781100,0
2021-12-16,8.810650,8.860050,8.800800,8.807900,8.807900,0
2021-12-17,8.845090,8.853530,8.790790,8.843310,8.843310,0
2021-12-20,8.771100,8.819240,8.766200,8.771560,8.771560,0
2021-12-21,8.795850,8.814360,8.783600,8.796850,8.796850,0
2021-12-22,8.805200,8.846350,8.785000,8.804970,8.804970,0
2021-12-23,8.833900,8.845900,8.805560,8.833300,8.833300,0
2021-12-24,8.829330,8.845610,8.816900,8.830220,8.830220,0
2021-12-27,8.830980,8.840520,8.814300,8.831200,8.831200,0
2021-12-28,8.831900,8.839500,8.807210,8.808520,8.808520,0
